dimension,value,pages,pages_with_buy_intent,impressions,clicks,impressions_per_page,avg_position
type,comparison,17,17,777,0,45.7,67.5
cluster,vitamin-d3,3,3,687,0,229.0,70.3
type,timing,3,3,569,0,189.7,71.8
type,brand-comparison,2,2,353,4,176.5,22.2
cluster,magnesium-glycinate,6,6,333,0,55.5,65.8
cluster,saffron-extract,4,4,324,4,81.0,18.1
cluster,ashwagandha,8,8,287,0,35.9,63.0
cluster,l-theanine,6,6,212,0,35.3,71.7
type,dosage,8,8,110,0,13.8,63.1
cluster,rhodiola-rosea,5,5,86,0,17.2,70.1
type,pillar,1,1,82,0,82.0,76.1
type,duration,3,3,75,0,25.0,46.5
cluster,omega-3-fish-oil,6,6,55,0,9.2,60.1
type,interaction,9,9,38,0,4.2,46.9
cluster,b-complex,4,4,32,0,8.0,48.4
type,explainer,3,3,26,0,8.7,50.6
cluster,5-htp,3,3,14,0,4.7,52.4
type,safety,1,1,2,0,2.0,42.5
cluster,probiotic-gut-brain,1,1,1,0,1.0,59.0
cluster,l-tyrosine,1,1,1,0,1.0,50.0
