page,impressions,clicks,avg_position,queries
/blog/vitamin-d-winter-mood/,73,0,70.7,27
/blog/magnesium-glycinate-vs-citrate/,50,0,71.2,20
/blog/adaptogens-ashwagandha-rhodiola/,42,0,52.5,17
/blog/gut-brain-axis-probiotics/,31,0,77.0,11
/blog/b-vitamins-stress-adrenal/,20,0,44.6,14
/blog/omega-3-brain-mood-evidence/,20,0,55.4,6
/blog/ashwagandha-cortisol-research/,14,0,88.4,13
/blog/fish-oil-and-cortisol/,12,0,31.3,10
/products/probiotic-gut-brain/,10,0,64.4,3
/blog/5-htp-serotonin-safety/,10,0,10.5,7
/blog/b-complex-dosage/,7,0,71.0,7
/blog/epa-vs-dha-for-mood/,6,0,26.0,4
/blog/b-vitamins-energy-mood/,3,0,47.3,3
/products/vitamin-d3/,3,0,69.3,1
/blog/b-complex-vs-b1/,2,0,20.5,1
/products/5-htp/,1,0,71.0,1
/products/omega-3-fish-oil/,1,0,63.0,1
/products/rhodiola-rosea/,1,0,78.0,1
/blog/saffron-mood-research/,1,0,26.0,1
/products/saffron-extract/,1,0,49.0,1
