dimension,value,pages,pages_with_buy_intent,impressions,clicks,impressions_per_page,avg_position
type,explainer,7,7,362,0,51.7,71.0
cluster,ashwagandha,3,3,239,0,79.7,69.8
cluster,b-complex,4,4,227,0,56.8,47.8
type,comparison,7,7,161,0,23.0,57.6
type,dosage,1,1,149,0,149.0,53.5
type,pillar,2,2,143,0,71.5,61.7
cluster,vitamin-d3,1,1,117,0,117.0,76.3
cluster,magnesium-glycinate,2,2,89,0,44.5,70.0
cluster,omega-3-fish-oil,3,3,79,0,26.3,54.2
cluster,probiotic-gut-brain,2,2,56,0,28.0,75.1
type,interaction,3,3,33,0,11.0,21.8
cluster,rhodiola-rosea,1,1,23,0,23.0,9.2
cluster,saffron-extract,3,3,10,0,3.3,68.1
cluster,5-htp,2,2,6,0,3.0,20.0
cluster,l-theanine,1,1,5,0,5.0,76.2
type,safety,1,1,2,0,2.0,9.5
type,brand-comparison,1,1,1,0,1.0,61.0
