page,impressions,clicks,avg_position,queries
/blog/b-complex-dosage/,149,0,53.5,85
/blog/5-htp-serotonin-safety/,143,0,9.0,63
/blog/vitamin-d-winter-mood/,121,0,74.1,46
/blog/ashwagandha-cortisol-research/,118,0,80.2,64
/blog/adaptogens-ashwagandha-rhodiola/,103,0,58.5,33
/blog/magnesium-glycinate-vs-citrate/,83,0,70.2,24
/blog/gut-brain-axis-probiotics/,52,0,75.7,16
/blog/omega-3-brain-mood-evidence/,45,0,62.8,9
/blog/b-vitamins-stress-adrenal/,36,0,43.6,21
/products/probiotic-gut-brain/,33,0,60.2,9
/blog/b-complex-vs-b1/,28,0,21.7,16
/guides/winter-mood/,27,0,97.1,21
/blog/fish-oil-and-cortisol/,24,0,41.0,15
/blog/can-you-take-rhodiola-rosea-with-levothyroxine/,23,0,9.2,7
/blog/ashwagandha-vs-ginseng/,19,0,62.9,10
/blog/epa-vs-dha-for-mood/,16,0,32.5,10
/blog/b-vitamins-energy-mood/,14,0,50.1,10
/products/,7,0,83.0,3
/products/saffron-extract/,6,0,58.5,5
/blog/saffron-extract-vs-ashwagandha/,6,0,79.0,4
/guides/gut-brain/,6,0,84.3,4
/blog/can-you-take-magnesium-glycinate-and-melatonin-together/,6,0,67.7,6
/blog/l-theanine-vs-ashwagandha/,5,0,76.2,4
/guides/focus/,5,0,76.8,3
/products/omega-3-fish-oil/,5,0,53.4,2
/blog/can-you-take-5-htp-with-adderall/,4,0,25.2,3
/blog/probiotic-vs-digestive-enzymes/,4,0,67.8,3
/products/rhodiola-rosea/,4,0,70.7,2
/blog/saffron-mood-research/,3,0,48.7,3
/products/vitamin-d3/,3,0,69.3,1
/blog/saffron-extract-vs-affron/,1,0,61.0,1
/products/5-htp/,1,0,71.0,1
/products/l-theanine/,1,0,55.0,1
